"","PlacetteID","rcp","Annee","Mois","Tmin","Tmax","PTot"
"180","400202303","RCP45",2005,12,-7.64516,-15.1323,6.52
"181","400202303","RCP45",2006,1,-6.50968,-16.2161,8.7
"182","400202303","RCP45",2006,2,-9.47857,-19.2929,6.98
"183","400202303","RCP45",2006,3,-0.551613,-9.96452,6.68
"184","400202303","RCP45",2006,4,7.24333,-3.48333,8.11
"185","400202303","RCP45",2006,5,14.4742,4.15484,6.73
"186","400202303","RCP45",2006,6,21.2367,9.80667,5.64
"187","400202303","RCP45",2006,7,22.2323,11.5065,11.76
"188","400202303","RCP45",2006,8,19.8387,8.63871,4.59
"189","400202303","RCP45",2006,9,16.01,5.00333,13.19
"190","400202303","RCP45",2006,10,7.54839,-0.0419355,14.75
"191","400202303","RCP45",2006,11,3.39333,-3.26,7.13
"192","400202303","RCP45",2006,12,-3.17419,-11.471,6.92
"193","400202303","RCP45",2007,1,-8.9871,-18.4871,6.91
"194","400202303","RCP45",2007,2,-11.7607,-23.0214,5.96
"195","400202303","RCP45",2007,3,-3.29355,-15.2677,5.96
"196","400202303","RCP45",2007,4,5.66667,-4.17,6.43
"197","400202303","RCP45",2007,5,15.0871,1.46452,3.5
"198","400202303","RCP45",2007,6,20.31,7.77,8.46
"199","400202303","RCP45",2007,7,21.7226,10.3419,8.16
"200","400202303","RCP45",2007,8,19.7839,8.52258,14.1
"201","400202303","RCP45",2007,9,16.6367,5.21,10.05
"202","400202303","RCP45",2007,10,10.9806,1.90323,11.92
"203","400202303","RCP45",2007,11,0.03,-6.58667,12.65
"204","400202303","RCP45",2007,12,-8.13548,-16.0968,7.94
"205","400202303","RCP45",2008,1,-8.08387,-17.5484,5.03
"206","400202303","RCP45",2008,2,-8.04138,-20.0103,4.39
"207","400202303","RCP45",2008,3,-5.0871,-17.2194,9.8
"208","400202303","RCP45",2008,4,7.01667,-2.85667,8.13
"209","400202303","RCP45",2008,5,14.0194,1.91935,4.82
"210","400202303","RCP45",2008,6,17.7767,8.32333,18.83
"211","400202303","RCP45",2008,7,22.4,11.9032,14.43
"212","400202303","RCP45",2008,8,20.5806,10.371,7.39
"213","400202303","RCP45",2008,9,16.5067,5.52667,9.69
"214","400202303","RCP45",2008,10,8.52903,1.03871,6.86
"215","400202303","RCP45",2008,11,1.79,-4.74333,9.05
"216","400202303","RCP45",2008,12,-7.64839,-17.7548,17.47
"217","400202303","RCP45",2009,1,-14.4065,-25.171,6.75
"218","400202303","RCP45",2009,2,-6.69643,-17.2143,4.4
"219","400202303","RCP45",2009,3,-2.34516,-15.6194,2.69
"220","400202303","RCP45",2009,4,6.40333,-2.68333,5.25
"221","400202303","RCP45",2009,5,12.6194,0.919355,9.2
"222","400202303","RCP45",2009,6,20.3867,7.97667,6.85
"223","400202303","RCP45",2009,7,20.4387,11.9161,12.31
"224","400202303","RCP45",2009,8,21.3516,11.4161,7.67
"225","400202303","RCP45",2009,9,16.5467,6.40667,7.41
"226","400202303","RCP45",2009,10,5.57419,-0.280645,7.83
"227","400202303","RCP45",2009,11,3.71667,-3.21,6.22
"228","400202303","RCP45",2009,12,-6.11613,-12.5484,10.06
"229","400202303","RCP45",2010,1,-6.15484,-14.7323,3.77
"230","400202303","RCP45",2010,2,-3.93214,-9.95,3.35
"231","400202303","RCP45",2010,3,2.01935,-9.72581,4
"232","400202303","RCP45",2010,4,8.53667,-1.57667,3.3
"233","400202303","RCP45",2010,5,16.6871,3.89677,5.5
"234","400202303","RCP45",2010,6,19.3367,8.14333,6.27
"235","400202303","RCP45",2010,7,23.4129,13.2903,7.11
"236","400202303","RCP45",2010,8,23.0226,11.2677,7.34
"237","400202303","RCP45",2010,9,15.1267,7.14333,22.88
"238","400202303","RCP45",2010,10,7.67097,1.10323,7.11
"239","400202303","RCP45",2010,11,1.07,-6.58333,7.47
"240","400202303","RCP45",2010,12,-4.63226,-11.3129,9.93
"241","400202303","RCP45",2011,1,-10.4839,-18.3323,4.07
"242","400202303","RCP45",2011,2,-8.92143,-19.8464,5.27
"243","400202303","RCP45",2011,3,-2.52258,-14.2161,10.63
"244","400202303","RCP45",2011,4,5.01667,-5.49333,8.7
"245","400202303","RCP45",2011,5,13.0129,1.99677,8.1
"246","400202303","RCP45",2011,6,19.0433,7.95333,8.99
"247","400202303","RCP45",2011,7,23.1258,11.471,14.42
"248","400202303","RCP45",2011,8,20.9645,12.0774,23.96
"249","400202303","RCP45",2011,9,17.99,7.71,8.27
"250","400202303","RCP45",2011,10,9.82903,2.18065,6.39
"251","400202303","RCP45",2011,11,3.98,-3.63333,7.39
"252","400202303","RCP45",2011,12,-4.7,-13.1097,9.57
"253","400202303","RCP45",2012,1,-8.4871,-19.3742,5.79
"254","400202303","RCP45",2012,2,-6.57586,-17.769,4.11
"255","400202303","RCP45",2012,3,1.09355,-9.23871,4.28
"256","400202303","RCP45",2012,4,6.65333,-3.07333,7.91
"257","400202303","RCP45",2012,5,16.0452,3.83226,8.48
"258","400202303","RCP45",2012,6,21,9.25333,13.24
"259","400202303","RCP45",2012,7,23.3258,12.2645,3.55
"260","400202303","RCP45",2012,8,22.3097,12.2548,10.07
"261","400202303","RCP45",2012,9,17.5167,7.26,5.68
"262","400202303","RCP45",2012,10,9.85484,2.44516,9.62
"263","400202303","RCP45",2012,11,1.26333,-5.66,3
"264","400202303","RCP45",2012,12,-4.89032,-11.7,10.9
"265","400202303","RCP45",2013,1,-9.11936,-19.2258,4.84
"266","400202303","RCP45",2013,2,-6.2,-15.5643,7.45
"267","400202303","RCP45",2013,3,1.39677,-6.8,5.484
"268","400202303","RCP45",2013,4,6.49667,-4.41667,8.09
"269","400202303","RCP45",2013,5,16.4516,4.34516,17.79
"270","400202303","RCP45",2013,6,18.4167,7.43667,11.68
"271","400202303","RCP45",2013,7,24.4613,11.9065,5.6
"272","400202303","RCP45",2013,8,21.2097,10.8323,11.95
"273","400202303","RCP45",2013,9,15.9733,6.67333,9.6
"274","400202303","RCP45",2013,10,10.6677,2.38065,8.76
"275","400202303","RCP45",2013,11,0.17,-6.37333,7.6
"276","400202303","RCP45",2013,12,-10.5677,-17.8645,6.69
"277","400202303","RCP45",2014,1,-10.6903,-20.0774,3.23
"278","400202303","RCP45",2014,2,-8.47143,-17.4393,3.55
"279","400202303","RCP45",2014,3,-6.77419,-17.271,6.28
"280","400202303","RCP45",2014,4,6.15667,-4.35,7.95
"281","400202303","RCP45",2014,5,14.8645,4.13871,8.09
"282","400202303","RCP45",2014,6,22.62,10.3633,7.89
"283","400202303","RCP45",2014,7,23.8613,13.1645,9.9
"284","400202303","RCP45",2014,8,23.1581,11.6677,7.66
"285","400202303","RCP45",2014,9,16.2667,6.36,9.19
"286","400202303","RCP45",2014,10,10.8258,2.00645,18.48
"287","400202303","RCP45",2014,11,1.0519992,-6.837998,10.92
"288","400202303","RCP45",2014,12,-5.18258,-13.43804,6.202
"289","400202303","RCP45",2015,1,-11.8226,-22.971,7.71
"290","400202303","RCP45",2015,2,-14.6286,-25.5071,1.97
"291","400202303","RCP45",2015,3,-3.4,-14.9871,5.64
"292","400202303","RCP45",2015,4,6.20333,-4.40333,7.78
"293","400202303","RCP45",2015,5,17.3581,4.51935,9.02
"294","400202303","RCP45",2015,6,19.5567,8.04333,7.46
"295","400202303","RCP45",2015,7,21.6226,11.6194,12.83
"296","400202303","RCP45",2015,8,22.9613,13.4,8.02
"297","400202303","RCP45",2015,9,20.1067,9.27,5.18
"298","400202303","RCP45",2015,10,6.96129,-0.9,7.59
"299","400202303","RCP45",2015,11,2.43667,-3.44333,8.1
"300","400202303","RCP45",2015,12,-1.60323,-6.98387,9.08
"301","400202303","RCP45",2016,1,-7.43548,-15.3968,7.01
"302","400202303","RCP45",2016,2,-7.53103,-18.1793,9.83
"303","400202303","RCP45",2016,3,-1.57419,-12.2774,12.13
"304","400202303","RCP45",2016,4,4.36667,-7.79333,4.06
"305","400202303","RCP45",2016,5,16,3.61613,7.15
"306","400202303","RCP45",2016,6,20.43,9.37667,13.17
"307","400202303","RCP45",2016,7,21.7323,11.7129,16.11
"308","400202303","RCP45",2016,8,23.1774,12.1839,7.89
"309","400202303","RCP45",2016,9,18.11,7.32667,8.25
"310","400202303","RCP45",2016,10,9.74194,1.62903,13.25
"311","400202303","RCP45",2016,11,2.88,-1.83667,8.85
"312","400202303","RCP45",2016,12,-7.09032,-14.8355,9.04
"313","400202303","RCP45",2017,1,-6.37742,-15.2194,7.53
"314","400202303","RCP45",2017,2,-6.44286,-16.3357,4.62
"315","400202303","RCP45",2017,3,-3.92903,-14.5613,10.04
"316","400202303","RCP45",2017,4,6.72,-2.55667,7.42
"317","400202303","RCP45",2017,5,14.1581,3.69355,14.09
"318","400202303","RCP45",2017,6,20.63,9.19667,8.8
"319","400202303","RCP45",2017,7,22.8871,10.6,5.72
